test_num,num_syscalls,program_size,time_taken
18,30,4112,3.048832
18,30,4112,3.35168
18,30,4112,2.967151
18,30,4112,3.367792
18,30,4112,3.296103
18,30,4112,2.984187
18,30,4112,3.31547
18,30,4112,3.435351
18,30,4112,1.612285
18,30,4112,2.940096
18,30,4112,3.215091
18,30,4112,3.148768
18,30,4112,3.349884
18,30,4112,3.281388
18,30,4112,3.037553
18,30,4112,2.72249
18,30,4112,3.112188
18,30,4112,3.158621
18,30,4112,3.299725
18,30,4112,3.060446
18,30,4112,2.967776
18,30,4112,3.152568
18,30,4112,3.221215
18,30,4112,3.083915
18,30,4112,3.291941
18,30,4112,3.190818
18,30,4112,2.851069
18,30,4112,3.145641
18,30,4112,3.243369
18,30,4112,2.736925
18,30,4112,3.120212
18,30,4112,3.257558
18,30,4112,3.121855
18,30,4112,3.504075
18,30,4112,3.178396
18,30,4112,3.024207
18,30,4112,2.750403
18,30,4112,3.073868
18,30,4112,3.420173
18,30,4112,2.777301
18,30,4112,3.191962
18,30,4112,3.15275
18,30,4112,3.00649
18,30,4112,3.17509
18,30,4112,3.412402
18,30,4112,2.924416
18,30,4112,3.401678
18,30,4112,3.352982
18,30,4112,3.16759
18,30,4112,3.329496
18,30,4112,2.988787
18,30,4112,3.052952
18,30,4112,3.18102
18,30,4112,2.645923
18,30,4112,2.944618
18,30,4112,3.267957
18,30,4112,3.08363
18,30,4112,3.258506
18,30,4112,3.1753
18,30,4112,3.298034
18,30,4112,2.957933
18,30,4112,3.25302
18,30,4112,3.244082
18,30,4112,3.012374
18,30,4112,1.792234
18,30,4112,3.059285
18,30,4112,2.782764
18,30,4112,3.093716
18,30,4112,3.046983
18,30,4112,2.521814
18,30,4112,3.251684
18,30,4112,3.036341
18,30,4112,3.275593
18,30,4112,3.238017
18,30,4112,3.228885
18,30,4112,3.158452
18,30,4112,3.131341
18,30,4112,3.273867
18,30,4112,2.577651
18,30,4112,3.150356
18,30,4112,3.01493
18,30,4112,2.867181
18,30,4112,3.055489
18,30,4112,2.920817
18,30,4112,2.869731
18,30,4112,2.613744
18,30,4112,3.350101
18,30,4112,3.095806
18,30,4112,1.664366
18,30,4112,3.15828
18,30,4112,2.953453
18,30,4112,3.171875
18,30,4112,3.477907
18,30,4112,2.972521
18,30,4112,3.319362
18,30,4112,3.284644
18,30,4112,2.198202
18,30,4112,3.067865
18,30,4112,2.510554
18,30,4112,3.185858
18,30,4112,3.227723
18,30,4112,3.014416
18,30,4112,1.879136
18,30,4112,2.717653
18,30,4112,3.531867
18,30,4112,3.183959
18,30,4112,3.092881
18,30,4112,3.436656
18,30,4112,3.358728
18,30,4112,3.077384
18,30,4112,3.051536
18,30,4112,3.241617
18,30,4112,3.32692
18,30,4112,3.275441
18,30,4112,2.490373
18,30,4112,3.312991
18,30,4112,2.959772
18,30,4112,3.321702
18,30,4112,2.653881
18,30,4112,3.224504
18,30,4112,3.264113
18,30,4112,3.220307
18,30,4112,3.052502
18,30,4112,2.944544
18,30,4112,3.339445
18,30,4112,2.820128
18,30,4112,3.218465
18,30,4112,3.265454
